HCT,AGRICULTURE,COMMERCIAL,INDUSTRIAL,MULTIFAM,OFFICE,PARKS,PubInst,SINGLEFAM,TRANS,UNDEVELOPED,COInst,%COInst,Grand Total,SB Cnt,HHI,Pop,Sbyn
510800,3,22,34,36,13,"1,615",2,272,,144,38,0.018,"2,141",2,104758,6908,Yes
510900,11,46,287,41,32,40,25,239,88,216,103,0.101,"1,025",3,85493,6070,Yes
511001,,15,136,14,16,1,,178,13,45,31,0.073,417,0,54305,2685,No
511002,1,9,42,33,10,1,25,205,25,26,43,0.116,375,0,70629,4261,No
511100,5,34,26,29,31,1,10,104,11,73,75,0.231,325,0,79479,2676,No
511200,1,21,60,13,1,1,7,242,2,47,29,0.072,402,0,73193,4424,No
511301,,42,15,9,8,0,12,192,,24,62,0.205,301,0,85771,3970,No
511302,0,11,22,9,3,,3,199,,9,17,0.068,256,0,58226,3631,No
511400,,13,12,4,0,,2,150,,13,16,0.081,194,0,71040,3001,No
511500,,17,12,5,5,0,,189,,25,21,0.084,252,0,62361,6472,No
511600,,8,17,5,0,1,2,96,0,23,10,0.068,154,0,38004,4641,No
520100,,,77,,,0,,1,,50,0,0.000,129,0,54420,1597,No
530100,,18,50,,36,,9,6,,31,64,0.426,150,0,32514,6233,No
